# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-04 23:51:20 371732211 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000053022  0.000000000 -1.000000000  0.000000000000000000          -nan   0.000000000          -nan  0.000000149096282    22.222222  0.000000000000000 
     1     0.001000  0.000053022  0.000053022 -0.001221534 -0.999999254  0.000000000000000000 -30.000022382  21.427243066  30.000022382  0.000000149104205    22.222222 21.427243066271945 
     2     0.002000  0.000106044  0.000053022 -0.002443067 -0.999997016  0.000000000000003553 -30.000089529   1.390919789  30.000089529  0.000000149112163    22.222219  1.390919788631845 
     3     0.003000  0.000159065  0.000053022 -0.003664596 -0.999993285  0.000000000000000000 -30.000201441   1.468921630  30.000201441  0.000000149120154    22.222216  1.468921629735938 
     4     0.004000  0.000212087  0.000053022 -0.004886120 -0.999988063  0.000000000000000000 -30.000358119   1.550415710  30.000358119  0.000000149128180    22.222211  1.550415709809287 
     5     0.005000  0.000265109  0.000053022 -0.006107636 -0.999981348  0.000000000000000000 -30.000559564   1.635500896  30.000559564  0.000000149136240    22.222204  1.635500896053746 
     6     0.006000  0.000318131  0.000053022 -0.007329144 -0.999973141  0.000000000000000000 -30.000805778   1.724275399  30.000805778  0.000000149144335    22.222197  1.724275399312688 
     7     0.007000  0.000371153  0.000053022 -0.008550642 -0.999963443  0.000000000000000000 -30.001096762   1.816836542  30.001096762  0.000000149152463    22.222187  1.816836541597366 
     8     0.008000  0.000424175  0.000053022 -0.009772127 -0.999952252  0.000000000000014211 -30.001432519   1.913280514  30.001432519  0.000000149160626    22.222177  1.913280513718720 
     9     0.009000  0.000477197  0.000053022 -0.010993597 -0.999939569  0.000000000000000000 -30.001813052   2.013702133  30.001813052  0.000000149168824    22.222164  2.013702133361855 
    10     0.010000  0.000530219  0.000053022 -0.012215053 -0.999925393  0.000000000000000000 -30.002238363   2.118194579  30.002238363  0.000000149177055    22.222151  2.118194578992004 
    11     0.011000  0.000583241  0.000053022 -0.013436490 -0.999909726  0.000000000000000000 -30.002708456   2.226849138  30.002708456  0.000000149185321    22.222136  2.226849137915224 
    12     0.012000  0.000636263  0.000053022 -0.014657909 -0.999892567  0.000000000000000000 -30.003223334   2.339754957  30.003223334  0.000000149193621    22.222120  2.339754956729223 
    13     0.013000  0.000689285  0.000053022 -0.015879306 -0.999873916  0.000000000000028422 -30.003783001   2.456998736  30.003783001  0.000000149201956    22.222102  2.456998735962619 
    14     0.014000  0.000742308  0.000053022 -0.017100680 -0.999853773  0.000000000000028422 -30.004387461   2.578664497  30.004387461  0.000000149210325    22.222082  2.578664497484728 
    15     0.015000  0.000795330  0.000053022 -0.018322030 -0.999832138  0.000000000000000000 -30.005036720   2.704833293  30.005036720  0.000000149218728    22.222062  2.704833292879613 
    16     0.016000  0.000848352  0.000053023 -0.019543354 -0.999809010  0.000000000000000000 -30.005730782   2.835582912  30.005730782  0.000000149227165    22.222040  2.835582911755306 
    17     0.017000  0.000901375  0.000053023 -0.020764649 -0.999784391  0.000000000000000000 -30.006469652   2.970987667  30.006469652  0.000000149235637    22.222016  2.970987666549879 
    18     0.018000  0.000954398  0.000053023 -0.021985915 -0.999758281  0.000000000000000000 -30.007253337   3.111118010  30.007253337  0.000000149244143    22.221991  3.111118009516384 
    19     0.019000  0.001007420  0.000053023 -0.023207149 -0.999730678  0.000000000000000000 -30.008081841   3.256040391  30.008081841  0.000000149252684    22.221965  3.256040390803891 
    20     0.020000  0.001060443  0.000053023 -0.024428350 -0.999701583  0.000000000000000000 -30.008955173   3.405816855  30.008955173  0.000000149261259    22.221937  3.405816854868481 
    21     0.021000  0.001113466  0.000053023 -0.025649516 -0.999670997  0.000000000000000000 -30.009873337   3.560504915  30.009873337  0.000000149269868    22.221908  3.560504915413529 
    22     0.022000  0.001166489  0.000053023 -0.026870646 -0.999638919  0.000000000000000000 -30.010836342   3.720157086  30.010836342  0.000000149278512    22.221877  3.720157085894793 
    23     0.023000  0.001219513  0.000053023 -0.028091736 -0.999605349  0.000000000000000000 -30.011844195   3.884820882  30.011844195  0.000000149287190    22.221845  3.884820882040951 
    24     0.024000  0.001272536  0.000053023 -0.029312787 -0.999570288  0.000000000000000000 -30.012896904   4.054538327  30.012896904  0.000000149295902    22.221812  4.054538326894883 
    25     0.025000  0.001325559  0.000053024 -0.030533795 -0.999533735  0.000000000000000000 -30.013994476   4.229345862  30.013994476  0.000000149304649    22.221777  4.229345862375208 
    26     0.026000  0.001378583  0.000053024 -0.031754760 -0.999495690  0.000000000000000000 -30.015136920   4.409274020  30.015136920  0.000000149313430    22.221740  4.409274019761530 
    27     0.027000  0.001431607  0.000053024 -0.032975679 -0.999456154  0.000000000000000000 -30.016324245   4.594347239  30.016324245  0.000000149322246    22.221702  4.594347239031793 
    28     0.028000  0.001484631  0.000053024 -0.034196551 -0.999415127  0.000000000000000000 -30.017556461   4.784583675  30.017556461  0.000000149331096    22.221663  4.784583674959014 
    29     0.029000  0.001537655  0.000053024 -0.035417373 -0.999372608  0.000000000000000000 -30.018833575   4.979994844  30.018833575  0.000000149339981    22.221623  4.979994844438021 
    30     0.030000  0.001590679  0.000053024 -0.036638145 -0.999328598  0.000000000000056843 -30.020155600   5.180585674  30.020155600  0.000000149348900    22.221581  5.180585673813839 
    31     0.031000  0.001643703  0.000053025 -0.037858865 -0.999283096  0.000000000000000000 -30.021522544   5.386354063  30.021522544  0.000000149357853    22.221537  5.386354062534543 
    32     0.032000  0.001696728  0.000053025 -0.039079530 -0.999236103  0.000000000000000000 -30.022934418   5.597290894  30.022934418  0.000000149366841    22.221492  5.597290893659928 
    33     0.033000  0.001749753  0.000053025 -0.040300140 -0.999187619  0.000000000000000000 -30.024391233   5.813379811  30.024391233  0.000000149375863    22.221446  5.813379810860511 
    34     0.034000  0.001802778  0.000053025 -0.041520691 -0.999137644  0.000000000000000000 -30.025893001   6.034597008  30.025893001  0.000000149384920    22.221398  6.034597008418713 
    35     0.035000  0.001855803  0.000053025 -0.042741183 -0.999086178  0.000000000000000000 -30.027439732   6.260911246  30.027439732  0.000000149394011    22.221349  6.260911245713347 
    36     0.036000  0.001908828  0.000053026 -0.043961614 -0.999033221  0.000000000000056843 -30.029031440   6.492283736  30.029031440  0.000000149403137    22.221298  6.492283735901272 
    37     0.037000  0.001961854  0.000053026 -0.045181982 -0.998978773  0.000000000000000000 -30.030668135   6.728667871  30.030668135  0.000000149412297    22.221246  6.728667871045479 
    38     0.038000  0.002014880  0.000053026 -0.046402285 -0.998922834  0.000000000000000000 -30.032349831   6.970009302  30.032349831  0.000000149421492    22.221193  6.970009302237651 
    39     0.039000  0.002067906  0.000053026 -0.047622522 -0.998865404  0.000000000000000000 -30.034076541   7.216245917  30.034076541  0.000000149430721    22.221138  7.216245917340047 
    40     0.040000  0.002120932  0.000053026 -0.048842690 -0.998806484  0.000000000000000000 -30.035848278   7.467307637  30.035848278  0.000000149439985    22.221081  7.467307637063381 
    41     0.041000  0.002173958  0.000053027 -0.050062788 -0.998746072 -0.000000000000056843 -30.037665056   7.723116707  30.037665056  0.000000149449283    22.221024  7.723116706734589 
    42     0.042000  0.002226985  0.000053027 -0.051282815 -0.998684171  0.000000000000000000 -30.039526889   7.983587156  30.039526889  0.000000149458616    22.220964  7.983587155741933 
    43     0.043000  0.002280012  0.000053027 -0.052502768 -0.998620779  0.000000000000000000 -30.041433790   8.248625632  30.041433790  0.000000149467983    22.220904  8.248625632003847 
    44     0.044000  0.002333039  0.000053027 -0.053722646 -0.998555896 -0.000000000000113687 -30.043385776   8.518130468  30.043385776  0.000000149477385    22.220842  8.518130467655482 
    45     0.045000  0.002386066  0.000053028 -0.054942447 -0.998489523  0.000000000000000000 -30.045382861   8.791992583  30.045382861  0.000000149486821    22.220778  8.791992582735608 
    46     0.046000  0.002439094  0.000053028 -0.056162170 -0.998421660  0.000000000000000000 -30.047425060   9.070095255  30.047425060  0.000000149496292    22.220713  9.070095255272802 
    47     0.047000  0.002492122  0.000053028 -0.057381812 -0.998352306  0.000000000000000000 -30.049512389   9.352313791  30.049512389  0.000000149505797    22.220647  9.352313791135019 
    48     0.048000  0.002545150  0.000053028 -0.058601371 -0.998281463  0.000000000000000000 -30.051644865   9.638516752  30.051644865  0.000000149515337    22.220579  9.638516752377479 
    49     0.049000  0.002598179  0.000053029 -0.059820847 -0.998209130  0.000000000000000000 -30.053822504   9.928564556  30.053822504  0.000000149524912    22.220510  9.928564556058699 
    50     0.050000  0.002651207  0.000053029 -0.061040237 -0.998135306  0.000000000000000000 -30.056045322  10.222311065  30.056045322  0.000000149534521    22.220440 10.222311065375077 
    51     0.051000  0.002704236  0.000053029 -0.062259540 -0.998059993  0.000000000000113687 -30.058313337  10.519603138  30.058313337  0.000000149544165    22.220368 10.519603137948085 
    52     0.052000  0.002757266  0.000053030 -0.063478753 -0.997983190  0.000000000000000000 -30.060626566  10.820280509  30.060626566  0.000000149553843    22.220294 10.820280509384661 
    53     0.053000  0.002810295  0.000053030 -0.064697876 -0.997904898  0.000000000000000000 -30.062985028  11.124176652  30.062985028  0.000000149563556    22.220219 11.124176652081541 
    54     0.054000  0.002863325  0.000053030 -0.065916905 -0.997825116  0.000000000000000000 -30.065388741  11.431118519  30.065388741  0.000000149573304    22.220143 11.431118518577199 
    55     0.055000  0.002916356  0.000053031 -0.067135841 -0.997743844  0.000000000000000000 -30.067837723  11.740927160  30.067837723  0.000000149583086    22.220065 11.740927159710147 
    56     0.056000  0.002969386  0.000053031 -0.068354680 -0.997661084  0.000000000000000000 -30.070331993  12.053417513  30.070331993  0.000000149592903    22.219986 12.053417513176345 
    57     0.057000  0.003022417  0.000053031 -0.069573421 -0.997576834  0.000000000000000000 -30.072871570  12.368399280  30.072871570  0.000000149602754    22.219905 12.368399279954700 
    58     0.058000  0.003075448  0.000053032 -0.070792063 -0.997491095 -0.000000000000113687 -30.075456475  12.685676551  30.075456475  0.000000149612641    22.219823 12.685676550645674 
    59     0.059000  0.003128480  0.000053032 -0.072010603 -0.997403867 -0.000000000000113687 -30.078086726  13.005048895  30.078086726  0.000000149622561    22.219740 13.005048894916049 
    60     0.060000  0.003181512  0.000053032 -0.073229040 -0.997315150  0.000000000000000000 -30.080762346  13.326310471  30.080762346  0.000000149632517    22.219655 13.326310471043545 
    61     0.061000  0.003234544  0.000053033 -0.074447372 -0.997224944  0.000000000000000000 -30.083483353  13.649252163  30.083483353  0.000000149642507    22.219569 13.649252162693470 
